Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Bootstrapper,3,152,112,83,2,32,0,8,34,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Bootstrapper\Modules,2,88,66,49,0,18,0,4,12,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Controls,3,75,68,38,0,7,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Core,3,60,49,29,0,11,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Interfaces,2,54,42,28,0,12,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Models,3,45,34,22,0,8,0,3,16,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Services,9,464,304,174,27,101,0,59,322,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Services\Registerable,7,395,258,150,24,91,0,46,264,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\ViewModels,8,367,280,193,6,85,1,2,18,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\ViewModels\Registerable,7,307,234,162,5,71,1,2,18,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views,18,618,522,242,2,96,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable,18,618,522,242,2,96,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj,22,548,218,84,0,130,0,200,672,198,660
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Debug,15,374,149,58,0,89,0,136,456,135,450
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Debug\netstandard2.0,15,374,149,58,0,89,0,136,456,135,450
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Debug\netstandard2.0\Controls,1,25,10,4,0,6,0,9,30,9,30
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Debug\netstandard2.0\Pages,5,125,50,20,0,30,0,45,150,45,150
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Debug\netstandard2.0\Views,7,175,70,28,0,42,0,63,210,63,210
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Debug\netstandard2.0\Views\Registerable,6,150,60,24,0,36,0,54,180,54,180
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Release,7,174,69,26,0,41,0,64,216,63,210
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Release\netstandard2.0,7,174,69,26,0,41,0,64,216,63,210
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Release\netstandard2.0\Views,5,125,50,20,0,30,0,45,150,45,150
